,X,Y,nama,kode_rs,tempat_tidur,lat,lon,alamat,tipe,wilayah,city
385,106.098103,-2.143842,RS  KATOLIK BHAKTI WARA,1971002,87,-2.143842,106.098103,JL. SOLIHIN GP NO.180 KEL. GAJAH MADA KEC.RANGKUI,RS_RUJUKAN_PROVINSI,KEPULAUAN BANGKA BELITUNG,KOTA PANGKALPINANG
381,105.184775,-2.07123,RS UMUM BAKTI TIMAH MUNTOK,1903002,24,-2.07123,105.184775,JL. RAYA KOMPLEK UNMET MUNTOK,RS_RUJUKAN_PROVINSI,KEPULAUAN BANGKA BELITUNG,BANGKA BARAT
335,105.221302,-2.054751,RS UMUM DAERAH SEJIRAN SETASON,1903013,102,-2.054751,105.221302,"BELO LAUT, MENTOK, KABUPATEN BANGKA BARAT, KEPULAUAN BANGKA BELITUNG 33351",RS_RUJUKAN_PROVINSI,KEPULAUAN BANGKA BELITUNG,BANGKA BARAT
538,104.03,1.04562,RS IBU DAN ANAK MUTIARA AINI,2071048,33,1.04562,104.03,"JL. BATU AJI II BLOK A NO.01, KEL.BULIANG, KEC.BATU AJI - BATAM",RS_RUJUKAN_PROVINSI,KEPULAUAN RIAU,KOTA BATAM
380,104.025223,1.0737709999999998,RS UMUM CAMATHA SAHIDYA,2071056,83,1.0737709999999998,104.025223,"JALAN JENDRAL AHMAD YANI NO. 8, KELURAHAN MUKA KUNING, KECAMATAN SEI BEDUK, KABIL, NONGSA, KABIL, KECAMATAN NONGSA, KOTA BATAM, KEPULAUAN RIAU 29433",RS_RUJUKAN_PROVINSI,KEPULAUAN RIAU,KOTA BATAM
98,103.409663,0.998135,RS IBU DAN ANAK GRAHA RAP,2101002,22,0.998135,103.409663,JL. RAJA OESMAN BARAN 1,RS,KEPULAUAN RIAU,KARIMUN
336,104.252335,1.050226,RS UMUM DAERAH TANJUNG UBAN,2002010,100,1.050226,104.252335,"JL. INDUN SURI – SIMPANG BUSUNG NO. 1, TANJUNG UBAN, TANJUNG PERMAI, SERI KUALA LOBAM, TJ. PERMAI, SERI KUALA LOBAM, KABUPATEN BINTAN, KEPULAUAN RIAU 29000",RS_RUJUKAN_PROVINSI,KEPULAUAN RIAU,BINTAN
340,105.723481,2.98873,RS UMUM DAERAH BERGERAK JEMAJA,2005002,14,2.98873,105.723481,"PADANG MELANG DESA BATU BERAPIT, MAMPOK, JEMAJA, KABUPATEN KEPULAUAN ANAMBAS, KEPULAUAN RIAU 29792",RS_RUJUKAN_PROVINSI,KEPULAUAN RIAU,KEPULAUAN ANAMBAS
906,104.030896,1.126592,RS IBU DAN ANAK KASIH SAYANG IBU,2171063,18,1.126592,104.030896,"JL. RADEN PATAH NO.9, LUBUK BAJA KOTA, KEC. LUBUK BAJA, KOTA BATAM, KEPULAUAN RIAU 29444",RS_RUJUKAN_PROVINSI,KEPULAUAN RIAU,KOTA BATAM
628,104.252433,1.056618,RS UMUM DAERAH  KABUPATEN BINTAN,2002002,53,1.056618,104.252433,"TIM.,, KIJANG KOTA, BINTAN TIM., KABUPATEN BINTAN, KEPULAUAN RIAU 29151",RS_RUJUKAN_PROVINSI,KEPULAUAN RIAU,BINTAN
631,104.101572,1.128175,RS KELUARGA HUSADA BATAM,2171062,52,1.128175,104.101572,JL. TENGKU SULUNG ODESSA BLOK C1 NO. 12-16 KELURAHAN BELIAN KECAMATAN BATAM KOTA,RS_RUJUKAN_PROVINSI,KEPULAUAN RIAU,KOTA BATAM
292,104.0165782,1.12364220099999,RS UMUM AWAL BROS BATAM,2071103,155,1.123642201,104.0165782,JL. GAJAH MADA KAV.I BALOI,RS_RUJUKAN_PROVINSI,KEPULAUAN RIAU,KOTA BATAM
295,104.0183335,1.147575891,RS UMUM BUDI KEMULIAAN BATAM,2071012,152,1.147575891,104.0183335,"JL. BUDI KEMULIAAN NO.1,BATAM",RS_RUJUKAN_PROVINSI,KEPULAUAN RIAU,KOTA BATAM
291,108.143,3.94565,RS UMUM DAERAH PALMATAK,2003125,32,3.94565,108.143,JALAN DATUK LAMIN NO. 03 DESA PAYALAMAN,RS_RUJUKAN_PROVINSI,KEPULAUAN RIAU,KEPULAUAN ANAMBAS
289,104.636,-0.1626,RS UMUM DAERAH ENCIK MARIYAM,2004136,44,-0.1626,104.636,JL. MASJID SULTAN LINGGA NO. 46 KP. DARAT DAIK KABUPATEN LINGGA,RS_RUJUKAN_PROVINSI,KEPULAUAN RIAU,LINGGA
665,108.386823,3.920234,RS UMUM DAERAH RADEN SADJAT TERINTEGRASI,3,0,3.920234,108.386823,"PANGKALAN TNI AU RADEN SADJAD(RSA) RANAI, KABUPATEN NATUNA, PROVINSI KEPULAUAN RIAU",RS_RUJUKAN_PROVINSI,KEPULAUAN RIAU,NATUNA
376,104.140631,1.120846,RS UMUM SOEDARSONO DARMOSOEWITO,2071059,70,1.120846,104.140631,"JL. HANG KESTURI KM 4,5 KABIL BATAM",RS_RUJUKAN_PROVINSI,KEPULAUAN RIAU,KOTA BATAM
770,103.946009,1.0237,RS SANTA ELISABETH SEI LEKOP,2171064,38,1.0237,103.946009,"JL. SEI BINTI, KAV. SUNGAI LEKOP, KEL. SUNGAI LEKOP RT01/RW13, KEC. SAGULUNG",RS_RUJUKAN_PROVINSI,KEPULAUAN RIAU,KOTA BATAM
676,103.968225,1.050599,RS UMUM DAERAH EMBUNG FATIMAH KOTA BATAM,2071114,220,1.050599,103.968225,"JL. LETJEND SUPRAPTO NO.1-9, BUKIT TEMPAYAN, KEC. BATU AJI, KOTA BATAM, KEPULAUAN RIAU 29425",RS_RUJUKAN_NASIONAL,KEPULAUAN RIAU,KOTA BATAM
677,103.414973,1.012804,RS UMUM DAERAH MUHAMMAD SANI KABUPATEN KARIMUN,2001013,130,1.012804,103.414973,"JALAN POROS NO.1, HARJOSARI, TEBING, KABUPATEN KARIMUN, KEPULAUAN RIAU 29663",RS_RUJUKAN_NASIONAL,KEPULAUAN RIAU,KARIMUN
213,103.96547,1.057501,RS UMUM CHARIS MEDIKA,2071037,47,1.057501,103.96547,JL. R.SUPRAPTO BLOK D 1-9,RS_RUJUKAN_PROVINSI,KEPULAUAN RIAU,KOTA BATAM
217,104.031523,1.128863,RS IBU DAN  ANAK GRIYA MEDIKA BATAM,2071054,20,1.128863,104.031523,"KOMPLEK MEGA INDAH BLOK A3-4 DAN BLOK B1-4, JL. LAKSAMANA BINTAN, SUNGAI PANAS, KEC. BATAM KOTA, KOTA BATAM, KEPULAUAN RIAU 29444",RS_RUJUKAN_PROVINSI,KEPULAUAN RIAU,KOTA BATAM
